segment,mean,median,max,sunlight_contamination
2019-01-24-17,19.09,23.00,60.80,0
2019-01-24-18,0.00,0.00,0.00,0
2019-01-24-19,0.00,0.00,0.00,0
2019-01-24-20,0.00,0.00,0.00,0
2019-01-24-21,0.00,0.00,0.00,0
2019-01-24-22,0.00,0.00,0.00,0
2019-01-24-23,0.00,0.00,0.00,0
2019-01-25-0,0.00,0.00,0.00,0
2019-01-25-1,0.00,0.00,0.00,0
2019-01-25-2,12.63,13.40,34.68,0
2019-01-25-3,6.98,7.17,26.54,0
2019-01-25-4,6.69,6.99,26.02,0
2019-01-25-5,10.29,9.53,25.56,0
2019-01-25-6,14.12,14.20,30.04,0
2019-01-25-7,14.38,13.20,31.05,0
2019-01-25-8,44.79,47.06,147.14,0
2019-01-25-9,31.94,32.24,63.15,0
2019-01-25-10,17.86,18.82,32.63,0
2019-01-25-11,28.27,28.29,79.21,0
2019-01-25-12,59.14,60.41,136.00,0
2019-01-25-13,24.38,25.04,56.19,0
2019-01-25-14,19.47,20.73,39.23,0
2019-01-25-15,30.78,31.35,64.20,0
2019-01-25-16,14.10,13.19,37.53,0
2019-01-25-17,11.34,10.82,33.39,0
2019-01-25-18,0.00,0.00,0.00,0
2019-01-25-19,0.00,0.00,0.00,0
2019-01-25-20,0.00,0.00,0.00,0
2019-01-25-21,0.00,0.00,0.00,0
2019-01-25-22,0.00,0.00,0.00,0
2019-01-25-23,0.00,0.00,0.00,0
2019-01-26-0,0.00,0.00,0.00,0
2019-01-26-1,0.00,0.00,0.00,0
2019-01-26-2,9.38,8.10,32.84,0
2019-01-26-3,3.35,2.91,18.90,0
2019-01-26-4,1.39,1.31,4.09,0
2019-01-26-5,1.25,1.01,13.93,0
2019-01-26-6,2.27,2.20,5.99,0
2019-01-26-7,4.13,4.27,10.05,0
2019-01-26-8,11.63,9.64,70.98,0
2019-01-26-9,11.13,10.51,27.37,0
2019-01-26-10,14.37,12.80,47.63,0
2019-01-26-11,36.44,38.06,68.30,0
2019-01-26-12,19.31,18.74,41.87,0
2019-01-26-13,34.04,26.43,86.00,0
2019-01-26-14,66.42,71.31,126.30,0
2019-01-26-15,24.31,23.22,55.72,0
2019-01-26-16,12.23,12.85,22.03,0
2019-01-26-17,15.22,15.52,40.14,0
2019-01-26-18,0.00,0.00,0.00,0
2019-01-26-19,0.00,0.00,0.00,0
2019-01-26-20,0.00,0.00,0.00,0
2019-01-26-21,0.00,0.00,0.00,0
2019-01-26-22,0.00,0.00,0.00,0
2019-01-26-23,0.00,0.00,0.00,0
2019-01-27-0,0.00,0.00,0.00,0
2019-01-27-1,0.00,0.00,0.00,0
